user_id,movie_id,score
21833,99642,3
11304,31548,4
31839,832,4
39391,123377,4
101483,38964,4
8813,43135,3
45433,191293,3
9810,52047,4
7688,238478,4
69464,11163,4
31937,12162,3
65275,38766,4
102754,28535,3
65193,11836,4
33318,227359,4
119493,64901,4
113832,149509,3
25355,99002,5
117342,25105,3
4114,52111,4
41883,87531,3
93475,33215,4
92946,11778,5
118106,15602,5
46105,84175,4
120877,124829,4
36102,11693,3
32575,33295,3
2156,19,4
23074,41035,3
77715,11621,5
134883,12637,3
36574,169250,4
59896,136106,5
27188,650,3
18358,148820,3
